X,Y,OBJECTID,facilityid,facilityarea,name,factype,fulladdr,municipality,agency,agencytype,agencyurl,pocname,pocphone,pocemail,phone,operdays,operhours,adultmeals,readytoeatmeals,comments,GlobalID,created_user,created_date,last_edited_user,last_edited_date,snapauthorized
-78.9468599993029,36.0202000003202,639,147111,0,LAGOS MEAT MARKET LLC,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3438 HILLSBOROUGH RD # C,DURHAM,,,,,9190001111,,919-383-5436,"Mon-Fri (Lunes-Viernes); Sunday (Domingo)",8:30am - 9 pm,,,,{178A0DF6-368A-4E30-B3A7-6FFD87A1D778},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,
-78.9166000001931,35.9964300000167,678,10818,0,DURHAM CO-OP MARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1111 W CHAPEL HILL ST,DURHAM,,,http://durham.coop/,,9190001111,,919-973-1707,"7 days/week; Siete días a la semana",9 AM- 9 PM,,,Become an owner for $15 and get 20% off every purchase. Hágase dueño por $15 y reciba 20% de descuento con cada compra.,{E781F267-1031-4386-9B91-6BBA2CA6ADBC},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9157099996444,35.9971300004623,679,99501,0,Al-TAIBA MARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1008 W CHAPEL HILL ST,DURHAM,,,,,,,984-219-7120,"7 days/week; Siete días a la semana",9am-9pm,,,,{9EFDD02D-9B1C-4896-87C1-FB943EEDE1A9},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9530789991202,35.9039310000427,861,144685,0,TARGET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",8210 RENAISSANCE PKWY,DURHAM,,,https://www.target.com/sl/Durham-SE-Store/2069,,9194250001,,9194250001,"7 days/week; Siete días a la semana",7 am - 10pm,,,,{91C3B7C9-A1D8-4E0D-953F-A2FF0A044FCE},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9986420005323,35.9545210003976,913,141262,0,WALMART SUPERCENTER,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",5450 NEW HOPE COMMONS DR,DURHAM,,,https://www.walmart.com/store/2137-durham-nc,,9194894412,,919-489-4412,"7 days/week; Siete días a la semana",6 am -11 pm,,,,{EF52F3C4-039C-4DF0-9935-265FBD99CE06},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9796299994336,36.0320820004947,947,138299,0,FOOD LION #939,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4621 HILLSBOROUGH RD,DURHAM,,,https://www.foodlion.com/,,9193090385,,919-309-0385,"7 days/week; Siete días a la semana",7am-10pm,,,,{9BD7061C-4FEA-48FB-8D08-7B1A7B4E6773},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9584499995373,35.9176829999313,970,140279,0,HARRIS TEETER #224,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1125 W NC HIGHWAY 54 # 310,DURHAM,,,https://www.harristeeter.com/,,9194030794,,919-403-0794,"7 days/week; Siete días a la semana",6am-11pm,,,,{27DD88E4-035E-4B82-A08E-52495ECF4111},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9564210007173,35.9209210001846,977,140184,0,FOOD LION #274,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4711 HOPE VALLEY RD,DURHAM,,,https://www.foodlion.com/,,9194932352,,919-493-2352,"7 days/week; Siete días a la semana",7am-11pm,,,,{8F0CF07C-B702-49A8-827C-B1C816698C29},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9593579995801,35.9598009998368,992,140280,0,HARRIS TEETER #172,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",1817 MARTIN LUTHER KING PKWY,DURHAM,,,https://www.harristeeter.com/,,9194899887,,919-489-9887,"7 days/week; Siete días a la semana",6am-11pm,,,,{D1F0FBD0-1FCE-49CF-9F94-6B34F6080EDB},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.958709999945,35.9627690002052,997,140199,0,FRESH MARKET,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",4215 UNIVERSITY DR # A3,DURHAM,,,https://www.thefreshmarket.com/,,9194019467,,919-401-9467,"7 days/week; Siete días a la semana",8am-9pm,,,,{28C7478A-CD7D-4B00-8CC9-D451600B56C0},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
-78.9611889999578,35.9664499996559,1009,140516,0,LI MING'S GLOBAL MART,"Supermarket, Warehouse Club, Supercenter / Supermercado, Clube de Almacén, Supercentro",3400 WESTGATE DR # 14A,DURHAM,,,http://www.lm-globalmart.com/,,9194015212,,919-401-5212,"7 days/week; Siete días a la semana",9:00am-9:00pm,,,,{CCBE42FE-5F2C-44B8-B52F-DF8FCF4E3991},A1,2021/10/20 09:06:17+00,A1,2021/10/20 09:06:17+00,Yes
